Id,BuildClass,LotArea,YearBuilt,1stFlrSF,2ndFlrSF,GarageArea,SalePrice
1,60,8450,2003,856,854,548,208500
2,20,9600,1976,1262,0,460,181500
3,60,11250,2001,920,866,608,223500
4,70,9550,1915,961,756,642,140000
5,60,14260,2000,1145,1053,836,250000
6,50,14115,1993,796,566,480,143000
7,20,10084,2004,1694,0,636,307000
8,60,10382,1973,1107,983,484,200000
9,50,6120,1931,1022,752,468,129900
10,190,7420,1939,1077,0,205,118000
11,20,11200,1965,1040,0,384,129500
12,60,11924,2005,1182,1142,736,345000
13,20,12968,1962,912,0,352,144000
14,20,10652,2006,1494,0,840,279500
15,20,10920,1960,1253,0,352,157000
16,45,6120,1929,854,0,576,132000
17,20,11241,1970,1004,0,480,149000
18,90,10791,1967,1296,0,516,90000
19,20,13695,2004,1114,0,576,159000
20,20,7560,1958,1339,0,294,139000
21,60,14215,2005,1158,1218,853,325300
22,45,7449,1930,1108,0,280,139400
23,20,9742,2002,1795,0,534,230000
24,120,4224,1976,1060,0,572,129900
25,20,8246,1968,1060,0,270,154000
26,20,14230,2007,1600,0,890,256300
27,20,7200,1951,900,0,576,134800
28,20,11478,2007,1704,0,772,306000
29,20,16321,1957,1600,0,319,207500
30,30,6324,1927,520,0,240,68500
31,70,8500,1920,649,668,250,40000
32,20,8544,1966,1228,0,271,149350
33,20,11049,2007,1234,0,484,179900
34,20,10552,1959,1700,0,447,165500
35,120,7313,2005,1561,0,556,277500
36,60,13418,2004,1132,1320,691,309000
37,20,10859,1994,1097,0,672,145000
38,20,8532,1954,1297,0,498,153000
39,20,7922,1953,1057,0,246,109000
40,90,6040,1955,1152,0,0,82000
41,20,8658,1965,1324,0,440,160000
42,20,16905,1959,1328,0,308,170000
43,85,9180,1983,884,0,504,144000
44,20,9200,1975,938,0,308,130250
45,20,7945,1959,1150,0,300,141000
46,120,7658,2005,1752,0,576,319900
47,50,12822,2003,1518,631,670,239686
48,20,11096,2006,1656,0,826,249700
49,190,4456,1920,736,716,0,113000
50,20,7742,1966,955,0,386,127000
